Name,Status,Price,Stars,Ratings,Units,"Unit Price","regex method"
"Lot of 5 Toshiba 256GB M.2 NVMe PCIE SSD DP/N: 0CC1D0 KXG50ZNV256G",Pre-Owned,$175.00,5.0,0,5,35,2
"(Lot of 10) Samsung 256GB TLC 2280 M.2 SSD, Model # MZ-NLN256C (PM871b) HP Part","Brand New",$192.50,Tim,0,10,19.25,2
"SanDisk X210 512GB SSD SD6SB2M512G1022I 2.5"" SATA III LOT OF 20",Pre-Owned,$900.00,0,0,20,45,2
"Lot of 10 Micron ( Crucial ) 1100 1TB SSD Solid State Drive 2.5"" SATA III 6.0","Open box","$1,149.99",0,0,10,114.999,2
"LOT OF 6 MIX 512GB M.2 SSD 2280",Pre-Owned,$400.00,0,0,6,66.6666666666667,2
"Lot of two SanDisk SDSA5AK-064G-1011 54-90-20800-64G 64GB SATA SSD w caddy",Pre-Owned,$29.99,Tim,0,,-1,
"Lot of 10 Kingston 128GB SATA3 6Gb/s 2.5 SSD SKC400S37/128G Solid State Drive",Pre-Owned,$200.00,0,0,10,20,2
"Lot of 10 - Samsung 840 Pro 128GB SSD - DELL P/N 0P9P2T - OEM MZ7PD128 - 1YR WTY",Refurbished,$220.00,0,0,10,22,2
"SanDisk SDSA5DK-016G-1006 Solid State Drive (Lot of 25)",Pre-Owned,$199.99,0,0,25,7.9996,2
"Lot of 120 New 512GB SSD Samsung MZ-7LN512A PM871A 2.5"" 6Gb SATA 6G","Brand New","$9,750.00",0,0,120,81.25,2
"SanDisk SDLF1CRR-019T-1HA1 CloudSpeed Eco Gen II 2.5"" SATA 1.92TB SSD LOT OF 20",Pre-Owned,"$3,000.00",0,0,20,150,2
"LOT OF 10 Intel DC S3500 80GB SSDSC1NB080G4 1.8'' SATA SSD Solid State Drive",Pre-Owned,$220.00,0,0,10,22,2
"LOT 23x New Samsung SSD 256GB m.2 SATA TLC (MZ-NLN256C) 2019","Brand New",$804.99,0,0,23,34.9995652173913,2
"SSD LOT 25GB 40GB 64GB 80GB SOLID STATE HARD DRIVE LOT OF 200","Parts Only",$202.50,Tim,0,25,8.1,2
"[LOT OF 31 UNITS] 512GB-500GB M.2 SSDs SAMSUNG WD HYNIX SANDISK",Pre-Owned,"$1,240.00",[LO,0,31,40,2
"Lot of 10 Micron 1100 M.2 2280 512GB SATA III TLC MTFDDAV512TBN SSD Solid Drive",Refurbished,$625.00,5.0,0,10,62.5,2
"~Lot of 10~ SSD 64GB Apple MacBook Air | Late 2010 - Mid-2011 | A1370 A1369",Pre-Owned,$119.99,0,0,10,11.999,2
"Lot of 12 NetApp X441A-R5 108-00278 100GB SAS Solid State Drive",Refurbished,$216.00,0,0,12,18,2
"LOT OF 9 SOLID STATE DRIVE SSD",Pre-Owned,$116.95,Pre,0,9,12.9944444444444,2
"Lot of - 39 Toshiba THNSNJ256GCSU Solid State Drive 256 GB","Parts Only",$105.50,Tim,0,,-1,
"240GB SSD SATA 3 2.5 Internal Solid State Drive SATA III Desktop Notebooks Lot 2","Brand New",$65.95,0,0,2,32.975,2
"Lot of 3 x NEW Micron HP 1100 256GB M.2 SATA 6Gb/s Opal2 MTFDDAV256TBN SSD","Open box",$104.95,0,0,3,34.9833333333333,2
"Lot of 5 LiteOn  LCS-128M6S 128GB 2.5"" SATA III Solid State Drive",Pre-Owned,$80.96,0,0,5,16.192,2
"LOT OF 10 SAMSUNG 840 Pro 2.5"" 128GB SATA III Internal Solid State Drive (SSD)",Refurbished,$279.99,0,0,10,27.999,2
